,ContractId,VersionId,Subject,PublishedAtUtc,ValueVatExcluded,ValueVatIncluded,SupplierIC,SupplierName,PublisherIC,PricePaid
945,3673704,5030448,Objednávka stravenek Krajský soud v Ústí nad Labem - Pobočka Liberec ,2018-03-21 14:53:58,164520.0,,62913671,Up Česká republika s.r.o.,215708,164520.0
946,4420152,4764984,Nákup stravenek pro OSZ Plzeň - sever - únor ,2018-02-22 10:25:42,50000.0,50000,62913671,Up Česká republika s.r.o.,26034,50000.0
951,4780156,5154956,Objednávka - stravenky 3/2018,2018-04-05 08:24:42,204750.0,,62913671,Up Česká republika s.r.o.,70994234,204750.0
953,3927144,4235500,stravenky pro zaměstnance na prosinec 2017.,2017-12-28 08:56:44,,49256,62913671,Up Česká republika s.r.o.,69650721,49256.0
956,3051642,3287938,Objednávka - stravenky,2017-09-29 10:53:16,3500000.0,,62913671,Up Česká republika s.r.o.,70994234,3500000.0
960,1722178,1859354,Nákup stravenek 4/2017,2017-05-04 11:29:20,,112000,62913671,Up Česká republika s.r.o.,24881,112000.0
964,4971488,5359248,Nákup stravenek,2018-04-25 07:26:49,330000.0,330000,62913671,Up Česká republika s.r.o.,24759,330000.0
965,3957052,4259368,stravenky leden 2018,2018-01-03 08:50:32,128000.0,128000,62913671,Up Česká republika s.r.o.,254061,128000.0
969,3997168,4301748,Objednávka stravenek,2018-01-08 09:38:21,230880.0,,62913671,Up Česká republika s.r.o.,64610250,230880.0
972,4394144,4737076,Objednávka na nákup stravenek,2018-02-20 09:08:55,319200.0,,62913671,Up Česká republika s.r.o.,272868,319200.0
974,2471218,2661422,objednávka stravenek+potvrzení 08 2017,2017-07-24 14:46:49,132800.0,,62913671,Up Česká republika s.r.o.,25216,132800.0
979,2087390,2250162,Objednávka stravenek 07-2017,2017-06-16 14:10:03,,70414,62913671,Up Česká republika s.r.o.,45241651,70414.0
980,22713,2077654,Objednávka stravenky pro zaměstnance,2017-05-31 08:16:32,92562.0,112000,62913671,Up Česká republika s.r.o.,829013,92562.0
984,3710212,4002328,Nákup stravenek pro zaměstnance SOS 66 Brno za měsíc září 2017 ,2017-12-06 15:32:59,278000.0,,62913671,Up Česká republika s.r.o.,205,278000.0
986,2352638,2536110,objednávka-stravenky,2017-07-12 10:56:37,,142444,62913671,Up Česká republika s.r.o.,70565813,142444.0
987,1692842,1827734,Nákup stravenek pro OSZ v Karlových Varech,2017-04-28 13:48:17,135000.0,135000,62913671,Up Česká republika s.r.o.,26034,135000.0
992,1472854,1590350,Objednávka - stravenky,2017-03-30 13:04:06,71953.0,,62913671,Up Česká republika s.r.o.,70994234,71953.0
993,4727448,5098568,Objednávka stravenek - duben 2018,2018-03-28 12:20:19,,167800,62913671,Up Česká republika s.r.o.,24821,167800.0
994,4116396,4434780,Objednávka: 4551009737 stravenky,2018-01-18 14:30:49,280500.0,,62913671,Up Česká republika s.r.o.,61989592,280500.0
995,2722818,2930326,nákup stravenek,2017-08-22 09:46:24,120600.0,120726,62913671,Up Česká republika s.r.o.,669709,120600.0
996,3515256,3789012,kupní smlouva - nákup stravenek,2017-11-16 10:51:27,126630.0,126762,62913671,Up Česká republika s.r.o.,669709,126630.0
999,4000944,4305996,objednávka stravenky leden 2018,2018-01-08 11:44:30,,66708,62913671,Up Česká republika s.r.o.,45241651,66708.0
1000,3099706,3340750,stravenky,2017-10-05 09:50:07,53274.0,53481,62913671,Up Česká republika s.r.o.,25291408,53274.0
1002,3126782,3370030,stravenky 9-17,2017-10-09 10:47:04,199950.0,,62913671,Up Česká republika s.r.o.,205,199950.0
1007,2336050,2518630,Nákup stravenek 7/2017 ,2017-07-11 08:34:57,80000.0,80000,62913671,Up Česká republika s.r.o.,24741,80000.0
1014,2325814,2507466,Objednávka stravenek,2017-07-10 10:41:33,246100.0,,62913671,Up Česká republika s.r.o.,64053466,246100.0
1018,4154692,4476396,Nákup stravenek pro klienty ÚPČR - KrP ve Zlíně,2018-01-24 09:02:35,715000.0,,62913671,Up Česká republika s.r.o.,72496991,715000.0
1019,2896054,3118474,Objednávka - stravenky červenec 2017,2017-09-12 08:29:18,96300.0,116523,62913671,Up Česká republika s.r.o.,2795281,96300.0
1027,3360736,3624160,Objednávka stravenek na 4. čtvrtletí 2017,2017-11-01 13:03:29,250000.0,,62913671,Up Česká republika s.r.o.,263958,250000.0
1029,4351764,4690748,Objednávka stravenky 12-17,2018-02-14 13:04:08,,126220,62913671,Up Česká republika s.r.o.,70886199,126220.0
1031,3574000,3852116,objednávka stravenek 12/2017,2017-11-23 13:13:34,72000.0,,62913671,Up Česká republika s.r.o.,320463,72000.0
1034,1447846,1564014,Objednávka stravenek na 2. čtvrtletí 2017,2017-03-28 10:44:51,400000.0,,62913671,Up Česká republika s.r.o.,263958,400000.0
1040,3815520,4114972,Objednávka stravenek ŘSP - prosinec,2017-12-15 12:01:02,72000.0,,62913671,Up Česká republika s.r.o.,205,72000.0
1042,2261614,2439078,objednávka stravenek,2017-06-30 10:51:00,88000.0,,62913671,Up Česká republika s.r.o.,320463,88000.0
1043,3999112,4303888,Obj.- stravenky leden 2018,2018-01-08 10:30:43,133884.0,162000,62913671,Up Česká republika s.r.o.,829013,133884.0
1045,1692670,1827502,Objednávka stravenek,2017-04-28 13:36:34,,176400,62913671,Up Česká republika s.r.o.,270059,176400.0
1047,2220194,2393786,Nákup stravenek pro KSZ v Plzni červen 2017,2017-06-28 13:49:22,270000.0,270000,62913671,Up Česká republika s.r.o.,26034,270000.0
1049,2750486,2960038,Objednávka stravenek,2017-08-24 13:48:53,72000.0,,62913671,Up Česká republika s.r.o.,320463,72000.0
1057,1597222,1723050,nákup stravenek,2017-04-18 10:07:15,91100.0,91331,62913671,Up Česká republika s.r.o.,601250,91100.0
1058,3085526,3324938,objednávka stravenek na říjen 2017,2017-10-04 09:27:41,,73030,62913671,Up Česká republika s.r.o.,45241651,73030.0
1060,3125222,3368290,Nákup stravenek 10/2017,2017-10-09 09:44:26,80000.0,80000,62913671,Up Česká republika s.r.o.,24741,80000.0
1061,4351800,4690784,Objednávka stravenky 1-18,2018-02-14 13:06:39,,154488,62913671,Up Česká republika s.r.o.,70886199,154488.0
1063,3606772,3890556,Objednávka stravenek pro fakultu,2017-11-28 07:29:52,175000.0,175000,62913671,Up Česká republika s.r.o.,47813059,175000.0
1068,4627496,4991172,Objednávka - stravenky 2/2018,2018-03-19 08:49:16,121633.0,121906,62913671,Up Česká republika s.r.o.,2795281,121633.0
1071,4004348,4309940,objednávka stravenky 01 2018       ,2018-01-08 13:58:57,277200.0,,62913671,Up Česká republika s.r.o.,25216,277200.0
1072,4780616,5155456,Objednávka stravenek,2018-04-05 08:53:28,72000.0,,62913671,Up Česká republika s.r.o.,320463,72000.0
1074,4213232,4540536,Nákup stravenek,2018-01-30 14:41:28,,184444,62913671,Up Česká republika s.r.o.,601250,184444.0
1075,3278806,4391196,objednávka stravenek,2018-01-15 15:53:05,240000.0,,62913671,Up Česká republika s.r.o.,81221,240000.0
1078,3716432,4009112,Objednávka stravenek pro zaměstnance za měsíc listopad 2017,2017-12-07 09:55:16,226620.0,226620,62913671,Up Česká republika s.r.o.,24899,226620.0
1079,1858618,2005154,Objednávka stravenek,2017-05-23 13:06:16,99440.0,,62913671,Up Česká republika s.r.o.,25270095,99440.0
1083,2833702,3050686,Nákup stravenek,2017-09-04 14:42:17,220000.0,220000,62913671,Up Česká republika s.r.o.,24759,220000.0
1088,884169,941433,Objednávka stravenek na 1 2017,2017-01-03 10:55:17,241120.0,,62913671,Up Česká republika s.r.o.,25216,241120.0
1089,512121,628241,"Objednávka_ÚzP v Děčíně - 1.361 ks stravenek á 70,- Kč  ",2016-11-22 11:53:29,95270.0,95270,62913671,Up Česká republika s.r.o.,72080043,95270.0
1092,50973,834541,Objednávka stravenek č. 16-192-155 ,2016-12-15 11:05:28,,92500,62913671,Up Česká republika s.r.o.,71185224,92500.0
1096,550053,585489,objednávka stravenek pro Okresní státní zastupitelství v Rokycanech,2016-11-14 15:04:42,64000.0,64000,62913671,Up Česká republika s.r.o.,26034,64000.0
1097,929865,990401,Objednávka stravenek ÚzP v Mělníce 1/2017 (AVISme 2016001719),2017-01-10 08:30:33,89320.0,89320,62913671,Up Česká republika s.r.o.,72080043,89320.0
1098,776129,825917,Objednávka stravenek ÚzP ve Vsetíně 12/2016 (AVISme 2016001283),2016-12-14 13:17:42,50320.0,50320,62913671,Up Česká republika s.r.o.,72080043,50320.0
1101,1965070,2118730,Objednávka stravenek pro zaměstnance,2017-06-05 09:02:53,165000.0,165000,24745391,Edenred CZ s.r.o.,26829495,165000.0
1103,4138560,4458860,Objednávka č. 4102/0004/18 - stravenky na 2/2018,2018-01-22 12:16:44,449280.0,,24745391,Edenred CZ s.r.o.,216224,449280.0
1104,1657582,1788994,objednávka stravenek na květen 2017,2017-04-25 13:12:22,181500.0,181500,24745391,Edenred CZ s.r.o.,275336,181500.0
1105,2105374,2269274,Objednávka stravenek pro zaměstnance FI MU červenec 2017,2017-06-20 06:04:12,229760.0,,24745391,Edenred CZ s.r.o.,216224,229760.0
1106,3859728,4162412,Objednávka č 050650170013 stravenky ,2017-12-20 08:22:36,,403750,24745391,Edenred CZ s.r.o.,69172196,403750.0
1107,1499774,1618122,Objednávka stravenek pro ZZS Benešov - březen 2017,2017-04-03 13:02:31,,87150,24745391,Edenred CZ s.r.o.,75030926,87150.0
1108,4245376,4575012,Objednávka stravenek 2/2018,2018-02-02 06:59:56,153180.0,153180,24745391,Edenred CZ s.r.o.,25208,153180.0
1109,2598550,2796854,Objednávka stravenek,2017-08-07 07:01:06,66115.0,80000,24745391,Edenred CZ s.r.o.,47813750,66115.0
1115,4815344,5192568,Objednávka stravenek,2018-04-09 13:34:38,937125.0,937125,24745391,Edenred CZ s.r.o.,61389005,937125.0
1118,4464076,4813296,"Objednávka/smlouva - stravenky TicketRestaurant v nominální hodnotě 80Kč, 6980ks, 03/2018",2018-02-28 08:16:35,558400.0,,24745391,Edenred CZ s.r.o.,216224,558400.0
1119,4619148,4982160,Objednávka č. 17- stravenky,2018-03-16 11:15:48,,80000,24745391,Edenred CZ s.r.o.,95354,80000.0
1122,2729710,2937742,Objednávka dobití stravenkových karet 8/2017,2017-08-22 15:41:37,171400.0,171400,24745391,Edenred CZ s.r.o.,26154170,171400.0
1126,3348416,3611004,PrF_objednavka_2258_0011_17_stravenky11,2017-10-31 14:02:41,232595.0,,24745391,Edenred CZ s.r.o.,216224,232595.0
1127,4998464,5387972,Objednávka 050650180004 - stravenky ,2018-04-27 07:54:58,,448750,24745391,Edenred CZ s.r.o.,69172196,448750.0
1129,3375576,3640348,Objednávka stravenek na listopad 2017,2017-11-02 13:05:10,96150.0,96150,24745391,Edenred CZ s.r.o.,71185216,96150.0
1130,2971818,3200894,nákup stravenek,2017-09-20 10:42:23,93217.0,93217,24745391,Edenred CZ s.r.o.,212423,93217.0
1131,1664386,1796578,Objednávka stravenek pro ZZS Beroun - duben 2017,2017-04-26 09:32:07,,58975,24745391,Edenred CZ s.r.o.,75030926,58975.0
1132,4505560,4858688,Objednávka stravenek pro ZZS Kutná Hora - únor  2018,2018-03-05 10:32:33,,68525,24745391,Edenred CZ s.r.o.,75030926,68525.0
1133,4484372,4835524,Objednávka stravenek č. 28/2018,2018-03-01 13:02:30,372000.0,375150,24745391,Edenred CZ s.r.o.,271632,372000.0
1135,2035266,2193902,Objednávka stravenky 3/2017,2017-06-12 16:05:55,154000.0,154000,24745391,Edenred CZ s.r.o.,282707,154000.0
1136,4179940,4503748,Objednávka stravenek 01/2018,2018-01-26 09:18:44,,136000,24745391,Edenred CZ s.r.o.,301493,136000.0
1137,4912404,5296488,objednávka stravenek na květen 2018,2018-04-18 16:03:57,,151988,24745391,Edenred CZ s.r.o.,239640,151988.0
1140,3777256,4073672,Objednávka stravenek,2017-12-13 07:33:26,60650.0,60786,24745391,Edenred CZ s.r.o.,279072,60650.0
1143,4058372,4370984,Objednávka stravenek,2018-01-12 11:57:02,,74364,24745391,Edenred CZ s.r.o.,250996,74364.0
1144,2859762,3079026,"Objednáváme u Vás 6 000 kusů stravenek po 60,00 Kč a 6 000 kusů  stravenek po 30,00 Kč.",2017-09-06 16:30:01,540000.0,540000,24745391,Edenred CZ s.r.o.,63517,540000.0
1146,1804686,1947058,"Objednáváme u Vás 6 000 kusů stravenek po 60,00 Kč a 6 000 kusů stravenek po 30,00 Kč.",2017-05-16 13:00:30,540000.0,540000,24745391,Edenred CZ s.r.o.,63517,540000.0
1153,3827848,4128252,Objednávka č. 1198/0165/17 - dodávka stravenek pro LF MU,2017-12-18 10:32:25,388880.0,,24745391,Edenred CZ s.r.o.,216224,388880.0
1154,3953160,4255268,Objednávka stravenek - listopad 2017,2018-01-02 12:52:35,58100.0,,24745391,Edenred CZ s.r.o.,297313,58100.0
1155,2097054,2259950,stravenky,2017-06-19 10:49:36,57068297.0,,24745391,Edenred CZ s.r.o.,5886,57068297.0
1159,3105258,3346762,Nákup stravenek - říjen 2017,2017-10-05 13:50:46,,224000,24745391,Edenred CZ s.r.o.,24457,224000.0
1161,2260102,2437434,objednávka - stravenky,2017-06-30 10:16:54,387520.0,,24745391,Edenred CZ s.r.o.,216224,387520.0
1162,1718810,1855774,Objednávka stravenek  + provize + dopravné,2017-05-04 08:04:26,,83000,24745391,Edenred CZ s.r.o.,65759800,83000.0
1166,2868182,3088218,Celková objednávka stravenek za banku srpen 2017,2017-09-07 13:01:14,,360400,24745391,Edenred CZ s.r.o.,44848943,360400.0
1168,2891578,3113654,"EDENRED CZ, s.r.o. - objednávka stravenek",2017-09-11 14:30:18,,66833,24745391,Edenred CZ s.r.o.,48806145,66833.0
1173,4181652,4505588,PrF_objednavka_2258_0003_18_stravenky_únor,2018-01-26 10:16:59,211636.0,,24745391,Edenred CZ s.r.o.,216224,211636.0
1179,3091778,3331822,Objednávka stravenek říjen 2017,2017-10-04 14:01:57,735360.0,,24745391,Edenred CZ s.r.o.,215724,735360.0
1180,1485342,1603382,Objednávka č. 050650170005 stravenky březen 2017,2017-03-31 12:56:18,415875.0,,24745391,Edenred CZ s.r.o.,69172196,415875.0
1182,3982464,4286120,Objednávka stravenek pro ZZS Benešov - prosinec 2017,2018-01-05 09:49:39,,79075,24745391,Edenred CZ s.r.o.,75030926,79075.0
1183,2027270,2185246,Objednávka stravenek,2017-06-12 10:03:26,54540.0,,24745391,Edenred CZ s.r.o.,635162,54540.0
1188,5030043,5421195,Objednávka stravenek pro ZZS Praha-východ - duben 2018,2018-05-02 11:09:09,,70725,24745391,Edenred CZ s.r.o.,75030926,70725.0
1191,5092531,5487911,Nákup stravenek 05-2018,2018-05-10 10:58:13,558000.0,,24745391,Edenred CZ s.r.o.,25062,558000.0
1194,5072631,5466655,Objednávka stravenek na období 5/2018,2018-05-07 14:18:03,195500.0,195500,24745391,Edenred CZ s.r.o.,300063,195500.0
1196,5883967,6340147,Obj. č. 82 18 00067 na objednání stravenek,2018-08-06 12:54:41,803200.0,,24745391,Edenred CZ s.r.o.,44992785,803200.0
1199,3482072,5437775,Objednávka stravenek,2018-05-03 12:24:45,,65100,24745391,Edenred CZ s.r.o.,70868476,65100.0
1200,5320907,5728975,Objednávka dobití stravenkových karet na červen 2018,2018-06-01 12:32:28,176850.0,,24745391,Edenred CZ s.r.o.,275336,176850.0
1201,5334443,6372003,Objednávka stravenek,2018-08-09 10:30:17,,163484,24745391,Edenred CZ s.r.o.,45241295,163484.0
1202,5032619,5423971,nákup stravenek pro zaměstnance na měsíc květen 2018,2018-05-02 13:17:50,214830.0,,24745391,Edenred CZ s.r.o.,70837911,214830.0
1203,5179123,5579295,Objednávka stravenek - květen 2018,2018-05-18 14:30:51,,189000,24745391,Edenred CZ s.r.o.,25632141,189000.0
1204,3295479,3554215,Objednávka stravenek,2017-10-25 16:15:47,,21000,24745391,Edenred CZ s.r.o.,72553995,21000.0
1205,5652487,6088191,objednávka stravenek 54 2018,2018-07-09 12:22:59,120160.0,,24745391,Edenred CZ s.r.o.,83194,120160.0
1208,5375091,5786499,Edenred stravenky 6/2018,2018-06-07 09:30:54,74970.0,78187,24745391,Edenred CZ s.r.o.,29319498,74970.0
1212,5087011,5482063,Objednávka stravenek.,2018-05-10 05:58:29,145454.0,176000,24745391,Edenred CZ s.r.o.,47813750,145454.0
1214,793385,844537,objednávka stravenek,2016-12-16 10:58:02,57851.0,70000,24745391,Edenred CZ s.r.o.,47813059,57851.0
1820,2180610,2350190,objednávka stravenky 0317,2017-06-26 14:43:15,72700.0,,62913671,Up Česká republika s.r.o.,45241651,72700.0
1821,3422632,3690964,objednávka stravenek,2017-11-07 14:40:34,28000.0,,62913671,Up Česká republika s.r.o.,371041,28000.0
1825,1955734,2108762,stravenky,2017-06-02 10:47:12,84000.0,84000,62913671,Up Česká republika s.r.o.,277819,84000.0
1828,4769312,5143412,"Objednávka \stravenky\""""",2018-04-04 10:51:28,927130.0,,62913671,Up Česká republika s.r.o.,70994234,927130.0
1831,1927070,2078278,Objednávka - stravenky říjen 2016,2017-05-31 09:03:56,80991.0,98000,62913671,Up Česká republika s.r.o.,829013,80991.0
1832,771853,821081,Objednávka stravenek pro ÚzP v Třebíči  12/2016 (AVISme 2016001268),2016-12-14 08:14:10,104160.0,104160,62913671,Up Česká republika s.r.o.,72080043,104160.0
1837,4953096,5339412,Objednávka stravenek na měsíc 5/2018,2018-04-23 13:24:32,171350.0,,62913671,Up Česká republika s.r.o.,266621,171350.0
1839,4482280,4833292,nákup stravenek ,2018-03-01 11:17:00,109620.0,109620,62913671,Up Česká republika s.r.o.,24856,109620.0
1843,1305530,1399282,Objednávka stravenek,2017-03-07 12:13:45,,138000,62913671,Up Česká republika s.r.o.,270059,138000.0
1845,4676844,5043936,Objednávka stravenek,2018-03-22 14:12:04,80240.0,,62913671,Up Česká republika s.r.o.,25270095,80240.0
1847,4253508,4583644,Objednávka stravenek na únor 2018,2018-02-02 14:20:08,,65400,62913671,Up Česká republika s.r.o.,24783,65400.0
1850,3033954,3268974,Objednávka stravenek na říjen 2017,2017-09-27 09:18:04,57400.0,57400,62913671,Up Česká republika s.r.o.,24716,57400.0
1853,3594592,3875136,objednávka - stravenky,2017-11-27 09:15:37,390000.0,,62913671,Up Česká republika s.r.o.,64459,390000.0
1854,2578458,2775654,Objednávka stravenek,2017-08-03 12:35:55,57110.0,,62913671,Up Česká republika s.r.o.,70994234,57110.0
1855,2425186,3595268,stravenky,2017-10-30 15:39:57,84000.0,84000,62913671,Up Česká republika s.r.o.,277819,84000.0
1862,1967678,2121462,Objednávka: 4571001839 stravenky 5000 ks,2017-06-05 10:51:54,350000.0,,62913671,Up Česká republika s.r.o.,61989592,350000.0
1863,4632268,4996240,Objednávka stravenek,2018-03-19 12:23:16,80000.0,80000,62913671,Up Česká republika s.r.o.,48282961,80000.0
1866,1524986,1644854,Dodávka stravenek,2017-04-05 14:42:45,,302070,62913671,Up Česká republika s.r.o.,574660,302070.0
1871,4112572,4430624,Objednávka - stravenky,2018-01-18 11:35:02,,66400,62913671,Up Česká republika s.r.o.,70994234,66400.0
